date,route,origin,destination,country,city,price,currency
2026-06-09,BKK-HKT,BKK,HKT,Thailand,Phuket,2030,THB
2026-06-09,BKK-CNX,BKK,CNX,Thailand,Chiang Mai,1240,THB
2026-06-09,BKK-KBV,BKK,KBV,Thailand,Krabi,1560,THB
2026-06-09,BKK-CEI,BKK,CEI,Thailand,Chiang Rai,1450,THB
2026-06-09,BKK-PVG,BKK,PVG,China,Shanghai,6620,THB
2026-06-09,BKK-PEK,BKK,PEK,China,Beijing,7920,THB
2026-06-09,BKK-CAN,BKK,CAN,China,Guangzhou,5740,THB
2026-06-09,BKK-NRT,BKK,NRT,Japan,Tokyo (Narita),9600,THB
2026-06-09,BKK-HND,BKK,HND,Japan,Tokyo (Haneda),9710,THB
2026-06-09,BKK-KIX,BKK,KIX,Japan,Osaka,8980,THB
2026-06-09,BKK-SGN,BKK,SGN,Vietnam,Ho Chi Minh City,3740,THB
2026-06-09,BKK-HAN,BKK,HAN,Vietnam,Hanoi,4010,THB
2026-06-09,BKK-DAD,BKK,DAD,Vietnam,Da Nang,4410,THB
